,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
6778,1723386.0,33.0,90.0,1766.0,0.0,1274.0,0.0001,0.0033,0.0016771701565358812,0.0,0.0
6779,1725174.0,37.0,21.0,1836.0,0.0,56.0,0.001,0.037,0.49333333333333335,0.0,0.0
6780,1725175.0,198.0,22.0,1835.0,0.0,535.0,0.002,0.396,0.5588484335309061,0.0,0.0
6781,1725176.0,6.0,23.0,1834.0,0.0,559.0,0.002,0.012,0.034324942791762014,0.0,0.0
6782,1727033.0,19.0,22.0,1836.0,0.0,56.0,0.002,0.038,0.5066666666666667,0.0,0.0
6783,1727034.0,75.0,23.0,1835.0,0.0,535.0,0.002,0.15,0.21168501270110074,0.0,0.0
6784,1727053.0,221.0,42.0,1816.0,0.0,602.0,0.0001,0.0221,0.11516414799374675,0.0,0.0
6785,1728891.0,28.0,21.0,1838.0,0.0,252.0,0.001,0.028,0.06006006006006006,0.0,0.0
6786,1728892.0,15.0,22.0,1837.0,0.0,18.0,0.002,0.03,0.8333333333333334,0.0,0.0
6787,1728894.0,7.0,24.0,1835.0,0.0,535.0,0.003,0.021,0.02963590177815411,0.0,0.0
6788,1728913.0,7.0,43.0,1816.0,0.0,602.0,0.0001,0.0007,0.0036477331943720686,0.0,0.0
6789,1730741.0,22.0,11.0,1849.0,0.0,1084.0,0.0,0.0,0.0,0.0,0.0
6790,1730752.0,84.0,22.0,1838.0,0.0,252.0,0.002,0.168,0.3603603603603604,0.0,0.0
6791,1730753.0,3.0,23.0,1837.0,0.0,18.0,0.002,0.006,0.16666666666666669,0.0,0.0
6792,1730773.0,51.0,43.0,1817.0,0.0,407.0,0.0001,0.0051,0.01802120141342756,0.0,0.0
6793,1732602.0,17.0,11.0,1850.0,0.0,1485.0,0.0,0.0,0.0,0.0,0.0
6794,1732612.0,143.0,21.0,1840.0,0.0,6258.0,0.001,0.14300000000000002,0.18397015309404352,0.0,0.0
6795,1732613.0,22.0,22.0,1839.0,0.0,22.0,0.002,0.044,1.0,0.0,0.0
6796,1732614.0,86.0,23.0,1838.0,0.0,252.0,0.002,0.17200000000000001,0.36894036894036897,0.0,0.0
6797,1732686.0,115.0,95.0,1766.0,0.0,1274.0,0.0,0.0,0.0,0.0,0.0
6798,1734474.0,12.0,21.0,1841.0,0.0,51.0,0.001,0.012,0.13333333333333333,0.0,0.0
6799,1734475.0,9.0,22.0,1840.0,0.0,6258.0,0.002,0.018000000000000002,0.02315708220764184,0.0,0.0
6800,1734477.0,32.0,24.0,1838.0,0.0,252.0,0.003,0.096,0.20592020592020593,0.0,0.0
6801,1734548.0,6.0,95.0,1767.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0
6802,1736337.0,245.0,21.0,1842.0,0.0,1141.0,0.001,0.245,0.2472000807183937,0.0,0.0
6803,1736338.0,25.0,22.0,1841.0,0.0,51.0,0.002,0.05,0.5555555555555556,0.0,0.0
6804,1736339.0,3.0,23.0,1840.0,0.0,6258.0,0.002,0.006,0.007719027402547279,0.0,0.0
6805,1738201.0,34.0,21.0,1843.0,0.0,63.0,0.001,0.034,0.3695652173913044,0.0,0.0
6806,1738202.0,314.0,22.0,1842.0,0.0,1141.0,0.002,0.628,0.6336393905761275,0.0,0.0
6807,1738203.0,14.0,23.0,1841.0,0.0,51.0,0.002,0.028,0.3111111111111111,0.0,0.0
6808,1740066.0,60.0,21.0,1844.0,0.0,570.0,0.001,0.06,0.09026628554234993,0.0,0.0
